"PointID","OSEWellID","OSEWelltagID","HoleDepth","WellDepth","CasingDiameter","CasingDepth","CasingDescription","FormationZone","Meaning"
"RA-084","RG-99713","","","79","4","","","050QUAL","Public supply"
"NM-02454","","","","","","","","121GILA","Unused"
"NM-02940","","","","","","","","210CRCS","Irrigation"
"NM-15062","","","","86","","","","110AVMB","Livestock"
"NM-16092","","","","","","","","121OGLL","Livestock"
"NM-11844","","","","","","","","121OGLL","Unused"
"MI-0240","","","","","","","","211DKOT/217PRGR/220ENRD","Shared domestic"
"NM-23779","","","","","","","","231SNRS","Domestic"
"UC-0162","CT-00309","","150","150","0.5","","","","Livestock"
"PC-125","RG-57988","","310","310","0.3799999952316284","","","211MENF","Public supply"
"NM-19179","","","","50","","","","110AVMB","Livestock"
"BC-0244","S-01782","","","375","0.41999998688697815","375","","325MDER","Shared domestic"
"NM-16837","","","","30","","","","231CHNL","Livestock"
"SB-0462","X","","","0","","","","318BSVP","Unused"
"NM-09968","","","","140","","","","110AVMB","Unused"
"NM-17545","","","650","","","","","","Unused"
"DA-0158","","","","","","","","050QUAL","Observation"
"NM-02706","","","","188","","","","313ARTS","Domestic"
"DA-0017","","","","","","","","112SNTF","Livestock"
"NM-10972","","","","280","","","","","Irrigation"
"NM-00354","","","","120","","","","121OGLL","Livestock"
"SV-0034","RG-66547","","400","400","","400","","325MDER/400SAND","Domestic"
"NM-25530","","","","150","","","","","Domestic"
"QU-049","RG-63119","","160","160","0.47999998927116394","160","","","Unused"
"NM-25571","","","255","","","","","","Unused"
"SB-0498","X","","","200","","","","210CRCS","Livestock"
"NM-17184","","","","106","","","","110AVMB","Irrigation"
"NM-03115","","","107","107","","","","110AVMB","Domestic"
"NM-08806","","","","","","","","121OGLL","Livestock"
"NM-26191","","","140","140","","","","321SGDC","Domestic"
"NM-01672","","","","95","","","","112SNTF","Domestic"
"AR-0173","SJ-03324","","43","43","0.5799999833106995","43","","","Domestic"
"SA-0169","X","","33","33","0.7200000286102295","","","050QUAL","Unused"
"NM-08560","","","","","","","","110AVMB","Unused"
"NM-01023","","","","393","","","","121OGLL","Irrigation"
"NM-02272","M-03617","","300","300","0.550000011920929","300","","110AVMB","Open, unequipped well"
"NM-19967","","","","","","","","121OGLL","Irrigation"
"SA-0466","","","","125","0.5","","","","Domestic"
"NM-27798","","","","","","","","121OGLL","Irrigation"
"NM-22930","","","","72","","","","231CHNL","Livestock"
"NM-12485","","","","18","","","","110AVMB","Unused"
"NM-20774","","","","163","","","","110AVMB","Irrigation"
"NM-12066","","","","120","","","","121OGLL","Unused"
"NM-12108","","","","212","","","","","Livestock"
"EB-264","Exempt","","74","69","","60","","110ALVM/121CHMTv","Observation"
"NM-09496","","","145","","","","","211CLRDH","Domestic"
"SB-0740","X","","","602","","","","112HCBL","Livestock"
"NM-02274","ST-00053","","330","330","0.6000000238418579","","","110AVMB","Livestock"
"NM-11090","","","","120","","","","121OGLL","Irrigation"
"NM-12141","","","82","82","","","","110AVMB","Domestic"
"NM-17018","","","","79","","","","110AVMB","Domestic"
"SO-0113","","","","","","","","","Shared domestic"
"NM-15216","","","","","","","","210CRCS","Livestock"
"NM-13606","","","","125","","","","110AVMB","Domestic"
"NM-24938","","","","280","","","","","Domestic"
"NM-14288","","","","225","","","","313SADR","Unused"
"NM-19396","","","","443","","","","121OGLL","Unused"
"NM-10424","","","","1094","","","","313SADR","Irrigation"
"NM-17834","","","","","","","","121OGLL","Irrigation"
"QU-019","RG-40247","","120","120","0.5","120","","","Domestic"
"NM-18518","","","","","","","","121OGLL","Livestock"
"NM-07365","","","","225","","","","231CHNL","Unused"
"TO-0403","","","","475","","","","112QTBF","Irrigation"
"NM-03094","","","","222","","","","110AVMB","Irrigation"
"NM-01044","","","","","","","","112SNTF","Livestock"
"NM-10691","","","","","","","","121OGLL","Livestock"
"NM-14655","","","","150","","","","313ARTS","Irrigation"
"NM-22072","","","","86","","","","220ENRD","Irrigation"
"NM-17882","","","","385","","","","121OGLL","Unused"
"ED-0298","","","","","","","","110ALVM","Irrigation"
"NM-14696","","","","","","","","210CRCS","Unused"
"NM-01703","","","","115","","","","124SNJS","Unused"
"SO-0192","X","","50","50","0.07999999821186066","","","","Observation"
"NM-06992","","","122","","","","","400PCMB","Unused"
"NM-18648","","","25","25","","","","","Domestic"
"NM-04934","","","","","","","","110AVMB","Unused"
"NM-27264","","","","200","","","","110AVMB","Irrigation"
"NM-08017","","","","","","","","110AVMB","Unused"
"NM-09477","","","","","","","","121OGLL","Unused"
"NM-25079","","","","219","","","","121OGLL","Irrigation"
"NM-09568","","","","","","","","","Domestic"
"NM-11093","","","","400","","","","313SADR","Domestic"
"NM-00790","","","","","","","","110AVMB","Irrigation"
"NM-24798","","","","","","","","","Unused"
"NM-23977","","","","","","","","","Domestic"
"SO-0036","","","","18","","","","410PRCG","Shared domestic"
"SA-0412","","","","","0.5","","","","Shared domestic"
"NM-26349","","","700","370","","","","211OJAM","Public supply"
"NM-11696","","","","177","","","","110AVMB","Irrigation"
"NM-21878","","","17","17","","","","112SNTF","Unused"
"ED-0193","","","","","","","","110ALVM","Irrigation"
"NM-14595","","","","","","","","210CRCS","Livestock"
"NM-13219","","","","65","","","","110AVMB","Irrigation"
"NM-09412","","","","","","","","121OGLL","Unused"
"NM-07739","","","","","","","","121OGLL","Livestock"
