"PointID","SiteType","Easting","Northing","PublicRelease"
"NM-01573","GW","406143","3991880","false"
"ED-0072","GW","566166","3600560","true"
"NM-28324","GW","444078","4050939","false"
"NM-16592","GW","674538","3775730","false"
"NM-25425","GW","412059","3973080","false"
"HS-114","GW","290016","3667630","true"
"NM-19432","GW","349330","3827090","false"
"NM-19725","GW","183614","3836510","false"
"SO-0230","GW","322377","3733198","true"
"NM-25331","GW","647424","3969930","false"
"NM-00553","GW","660661","3657570","false"
"NM-04990","GW","264880","3560350","false"
"NM-07315","GW","274870","3601360","false"
"NM-07341","GW","222087","3603270","false"
"NM-04884","GW","342884","3557240","false"
"NM-15520","GW","652335","3744200","false"
"NM-12653","GW","569073","3678180","false"
"SA-0500","GW","240498","3739670","true"
"SB-0663","GW","382867","3520012","false"
"NM-12906","GW","546020","3682420","false"
"BW-0674","GW","398177","3815320","true"
"NM-06193","GW","271972","3579510","false"
"QU-112","GW","445646","4060585","true"
"NM-08873","GW","681225","3625830","false"
"NM-28211","GW","170921","4072640","false"
"NM-16672","GW","677819","3777120","false"
"NM-19637","GW","404239","3830240","false"
"EB-066","GW","416340","3954065","true"
"NM-14337","GW","624389","3702200","false"
"NM-02359","GW","154394","3585510","false"
"NM-11643","GW","550681","3661530","false"
"NM-18928","GW","607869","3814320","false"
"NM-00791","GW","440556","3707160","false"
"NM-00053","GW","490361","3544350","false"
"NM-03400","GW","347192","3890790","false"
"NM-03119","GW","594523","3809730","false"
"DA-0135","GW","323116","3547760","true"
"NM-03569","GW","477151","3976630","false"
"NM-24648","GW","396858","3942190","false"
"NM-02579","GW","554254","3624750","false"
"NM-14737","GW","455824","3716810","false"
"NM-15631","GW","418586","3745300","false"
"NM-20061","GW","602308","3837210","false"
"NM-20290","GW","601118","3841320","false"
"NM-20959","GW","636797","3858050","false"
"NM-10583","GW","471726","3645120","false"
"NM-15187","GW","543073","3733900","false"
"NM-13029","GW","292163","3686930","false"
"AR-0216","GW","232186","4079990","true"
"AR-0085","GW","240596","4088880","true"
"TC-264","GW","412215","4101670","true"
"NM-10753","GW","625752","3648440","false"
"NM-02296","GW","333221","3575230","false"
"NM-11752","GW","615206","3664270","false"
"NM-02063","GW","494843","3555660","false"
"NM-27289","GW","367371","3581900","false"
"NM-09367","GW","234107","3632730","false"
"NM-09930","GW","221638","3639390","false"
"NM-23001","GW","349473","3894560","false"
"NM-21074","GW","647369","3862500","false"
"NM-13912","GW","544770","3695440","false"
"NM-12623","GW","556162","3677570","false"
"NM-06138","GW","326600","3577020","false"
"NM-17716","GW","644976","3792890","false"
"DA-0035","GW","322081","3595600","true"
"NM-04142","GW","125414","3541980","false"
"NM-13977","GW","544355","3695710","false"
"NM-04341","GW","343978","3544750","false"
"NM-22297","GW","246710","3888320","false"
"JM-022","GW","295159","3644428","true"
"NM-05225","GW","239530","3564700","false"
"NM-19926","GW","297767","3836610","false"
"NM-09419","GW","282981","3632060","false"
"NM-11048","GW","557742","3651070","false"
"NM-11611","GW","560405","3661190","false"
"WL-0092","GW","401880","3847067","true"
"NM-17403","GW","645443","3787560","false"
"NM-13768","GW","619851","3695370","false"
"NM-09998","GW","556243","3636400","false"
"NM-07609","GW","678866","3606530","false"
"AR-0240","GW","223552","4075180","true"
"NM-00713","GW","472853","3694900","false"
"NM-07084","GW","244759","3597210","false"
"NM-02825","GW","556460","3697530","false"
"SD-0227","GW","395511","3881430","true"
"NM-26112","GW","610842","4021690","false"
"NM-24088","GW","388195","3927530","false"
"NM-20258","GW","615293","3841060","false"
"TS-075","SP","437356","4081880","true"
"NM-14076","GW","546338","3697050","false"
"WL-0133","GW","324765","3771627","true"
"NM-28094","GW","338741","3903590","false"
"NM-28190","GW","159742","4034980","false"
"NM-02008","GW","237766","3553220","false"
"DE-0313","GW","650260","3590867","false"
"NM-22219","GW","380447","3884860","false"
"NM-11851","GW","285848","3666880","false"
"NM-28008","GW","347016","3868930","false"
"NM-12446","GW","565088","3674300","false"
"NM-16171","GW","262021","3763310","false"
"NM-21526","GW","360417","3876740","false"
"NM-22816","GW","242374","3894520","false"
"NM-09159","GW","636755","3628350","false"
"NM-12901","GW","562006","3682480","false"
"NM-01984","GW","130452","3554640","false"
"NM-25966","GW","617054","4007180","false"
"NM-23077","GW","627912","3895520","false"
"NM-11339","GW","567719","3656980","false"
"NM-09131","GW","681468","3628200","false"
"NM-22515","GW","374591","3888020","false"
"NM-01114","GW","558826","3856020","false"
"NM-11568","GW","656262","3661690","false"
"NM-19715","GW","575811","3831220","false"
"TB-0252","GW","429071","3721794","true"
"NM-19756","GW","597882","3832170","false"
"AR-0208","GW","235162","4083104","true"
"NM-11912","GW","670154","3666730","false"
"NM-23185","GW","665201","3898430","false"
"JM-040","GW","310109","3650189","true"
"WL-0050","GW","441766","4050137","true"
"WL-0120","GW","281752","3641818","false"
"NM-03249","GW","569084","3838470","false"
"NM-07698","GW","649588","3607340","false"
"NM-22445","GW","354659","3887610","false"
"NM-01589","GW","467414","4000120","false"
"NM-16755","GW","665139","3778210","false"
"SB-0530","GW","466316","3461057","false"
"SB-0835","GW","495493","3567589","true"
"QY-0332","GW","641180","3890310","true"
"NM-13721","GW","541546","3694190","false"
"NM-14275","GW","547899","3699950","false"
"NM-20308","GW","600503","3841690","false"
"NM-09962","GW","554218","3635960","false"
"NM-05073","GW","342456","3560050","false"
"OG-0080","GW","652829","3809237","true"
"NM-05583","GW","233983","3570080","false"
"NM-00970","GW","667306","3814580","false"
"NM-02717","GW","558047","3652270","false"
"NM-07711","GW","663195","3607770","false"
"NM-05995","GW","257839","3575090","false"
"NM-12366","GW","554688","3672850","false"
"NM-07397","GW","656398","3602150","false"
"BC-0265","GW","352614","3894870","true"
"TV-245","GW","444194","4022503","true"
"TS-022b","SP","437963","4077604","true"
"NM-25191","GW","205155","3965760","false"
"NM-08645","GW","676314","3622380","false"
"NM-15976","GW","200716","3759220","false"
"NM-13813","GW","546554","3695050","false"
"NM-06737","GW","675859","3589130","false"
"TO-0001","GW","376061","3792930","true"
"NM-27703","GW","666165","3796900","false"
"NM-04720","GW","233265","3556750","false"
"NM-27180","ES","184255","4061780","true"
"NM-15871","GW","628137","3751910","false"
